Date,Symbol,Open,High,Low,Close,VWAP,Volume,Turnover
16-02-2000,ITC,1029.6,1067,975,997.2,1004.21,1639575,1.64648E+14
17-02-2000,ITC,999,1054.9,992.05,1030.1,1033.46,1924843,1.98924E+14
18-02-2000,ITC,1035,1050,947.7,956.8,995.09,1091697,1.08633E+14
21-02-2000,ITC,990,1008,960,979.9,985.88,972386,9.58657E+13
22-02-2000,ITC,985,998.85,922.6,941.3,957.93,1088543,1.04274E+14
23-02-2000,ITC,951,999,866,866.05,905.64,714522,6.47099E+13
24-02-2000,ITC,866,880,811,842.7,840.14,595043,4.9992E+13
25-02-2000,ITC,868.7,868.7,801,810.15,831.94,342968,2.85327E+13
28-02-2000,ITC,820,838.85,786.1,803.5,813.72,333728,2.71562E+13
29-02-2000,ITC,810,819,739.25,746.85,782.16,1301851,1.01825E+14
01-03-2000,ITC,740.1,784,710,753.75,758.76,874568,6.63591E+13
02-03-2000,ITC,761,780,714.4,724.6,750.91,1069797,8.03324E+13
03-03-2000,ITC,736,736,666.65,675.35,689.05,696618,4.80005E+13
06-03-2000,ITC,697,729.4,697,729.4,720.55,476107,3.43059E+13
07-03-2000,ITC,745,787.75,732,780.6,755.05,954532,7.20719E+13
08-03-2000,ITC,820,843.05,780,807.55,816.63,816449,6.66733E+13
09-03-2000,ITC,815,847,787.1,828.7,817.17,889699,7.2704E+13
10-03-2000,ITC,839.95,867,810.05,837.4,833.24,679326,5.66039E+13
13-03-2000,ITC,867,904.4,800,829.05,864.57,1122941,9.70856E+13
14-03-2000,ITC,825,878,791,859,834.93,1118886,9.34195E+13
15-03-2000,ITC,860,875,826,851.7,851.9,448662,3.82217E+13
16-03-2000,ITC,859,859,783.6,785.65,805.69,478057,3.85167E+13
21-03-2000,ITC,775,787.9,722.8,725.15,733.69,395936,2.90495E+13
22-03-2000,ITC,745,770,736,740.45,750.12,449248,3.36992E+13
23-03-2000,ITC,746.9,747.8,697,704.75,715.3,298809,2.13738E+13
24-03-2000,ITC,712,733,712,721.4,721.2,258417,1.86371E+13
27-03-2000,ITC,724.9,732,710.05,720.5,720.96,243855,1.75809E+13
28-03-2000,ITC,722,723.9,692.15,701.95,706.75,385509,2.7246E+13
29-03-2000,ITC,720,750,712,723.15,726.01,347546,2.52322E+13
30-03-2000,ITC,729.9,754,711,720.15,730.22,603876,4.40959E+13
31-03-2000,ITC,711,751.85,710,741.45,734.23,586148,4.30369E+13
03-04-2000,ITC,739.9,800.8,721.05,797,772.76,1720025,1.32916E+14
04-04-2000,ITC,785,785,733.25,733.25,744.37,581309,4.32707E+13
05-04-2000,ITC,680,740,675.05,698.75,700.53,706269,4.94764E+13
06-04-2000,ITC,705,711,646.1,682.8,676.06,431386,2.91642E+13
07-04-2000,ITC,682,733.9,682,730.95,722.23,1087357,7.85318E+13
10-04-2000,ITC,735,771.8,725,736,752.45,1461248,1.09951E+14
11-04-2000,ITC,726.1,728,703,717,712.56,479431,3.41624E+13
12-04-2000,ITC,725,739.6,715,721.85,724.76,353802,2.56423E+13
13-04-2000,ITC,701.55,701.55,680,685.65,689.26,402330,2.77309E+13
17-04-2000,ITC,680,680,630.8,630.8,632.57,323927,2.04908E+13
18-04-2000,ITC,630.8,647.25,580.35,580.7,598.34,688991,4.1225E+13
19-04-2000,ITC,619,619,558,582.2,583.74,756996,4.41885E+13
20-04-2000,ITC,571.5,584.95,542.65,575.7,563.24,918435,5.17303E+13
24-04-2000,ITC,575,575,529.65,530.95,539.98,624758,3.37359E+13
25-04-2000,ITC,500.7,526,489.8,513.6,502.87,873486,4.39252E+13
26-04-2000,ITC,529.8,554.7,529.8,554.7,546.8,304309,1.66397E+13
27-04-2000,ITC,594,594,554.7,574.95,574.93,947651,5.4483E+13
28-04-2000,ITC,575,584.9,561,569.2,570.6,357585,2.04038E+13
02-05-2000,ITC,565,574,525,527.95,538.35,433751,2.33511E+13
03-05-2000,ITC,502,544.5,495.1,525.7,518.07,582541,3.01798E+13
04-05-2000,ITC,530,557,520,549.15,545,513933,2.80095E+13
05-05-2000,ITC,553.8,573,549,564.4,560.35,641020,3.59196E+13
08-05-2000,ITC,572,593.1,519.25,520.35,543.87,485042,2.63798E+13
09-05-2000,ITC,506.3,541,500,529.1,522.97,434331,2.27143E+13
10-05-2000,ITC,535,555.45,519,533,535.17,1119290,5.99008E+13
11-05-2000,ITC,530,545.5,515,533.25,534.61,564757,3.01923E+13
12-05-2000,ITC,539.9,568.4,531,559.45,546.43,1340982,7.32759E+13
15-05-2000,ITC,552,590,536,580.45,563.73,873242,4.92271E+13
16-05-2000,ITC,585.2,634.8,585.2,625.8,614.16,1344438,8.25702E+13
17-05-2000,ITC,635,640,613,618.55,624.74,1214993,7.59049E+13
